"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00280","Valine, leucine and isoleucine degradation","42/2028","48/8192",5.95983533620207e-20,1.97866533161909e-17,1.50564261125105e-17,"ACAA1/MMUT/HMGCL/ACADSB/BCKDHB/IVD/HADH/ACAT2/HIBCH/MCEE/EHHADH/ALDH6A1/ABAT/HIBADH/ECHS1/ALDH9A1/DBT/AGXT2/ALDH7A1/HSD17B10/ACADM/ACADS/PCCB/ALDH2/ACAA2/ACAT1/ACAD8/HMGCS2/ALDH3A2/HMGCS1/AOX1/HADHA/PCCA/HADHB/AUH/ALDH1B1/MCCC2/BCKDHA/AACS/DLD/MCCC1/BCAT1",42
"hsa04610","Complement and coagulation cascades","58/2028","86/8192",6.09541104125355e-17,1.01183823284809e-14,7.69946657842554e-15,"MASP2/KLKB1/CFHR3/F11/CFHR1/C9/SERPIND1/C8A/F8/SERPINC1/C2/A2M/C8B/MASP1/F12/PLG/PROS1/F2/C4B/PROC/F7/KNG1/C4BPB/C1R/C6/F10/CFI/SERPING1/C1S/CFH/C4BPA/SERPINF2/CLU/TFPI/C4A/CFB/BDKRB1/SERPINA1/CPB2/FGA/C3/FGB/C8G/F2RL3/FGG/C5/VTN/SERPINA5/C7/VSIG4/SERPINE1/BDKRB2/F5/C1QA/C1QB/C1QC/PLAU/ITGAM",58
"hsa00071","Fatty acid degradation","36/2028","43/8192",5.67273918427533e-16,6.27783136393136e-14,4.77704352360027e-14,"GCDH/ACAA1/ACADSB/HADH/ACAT2/EHHADH/ACSL1/ECHS1/ALDH9A1/ADH5/ACOX1/ADH4/ACADL/ECI2/ALDH7A1/ACADM/ACADS/ADH1A/ALDH2/ACAA2/ADH6/ACAT1/CPT2/ALDH3A2/ADH1C/ADH1B/ACSL5/ACADVL/HADHA/HADHB/ACOX3/ALDH1B1/CYP2U1/ACSL6/ECI1/CPT1B",36
"hsa01200","Carbon metabolism","68/2028","115/8192",3.22495744391044e-15,2.67671467844567e-13,2.03681522773291e-13,"MMUT/GLUD1/CAT/PKM/SDS/ACAT2/GLYCTK/HIBCH/MCEE/SUCLG2/ALDH6A1/FBP1/CPS1/SHMT1/IDNK/GCSH/ECHS1/ADH5/GPT/GOT2/ACOX1/ACSS2/RGN/AMT/TKFC/SDHB/ENO3/ACADS/PDHB/PCCB/GPT2/PKLR/AGXT/ACAT1/PC/ALDOC/PSAT1/IDH1/FH/ALDOA/SDHD/ACO1/SHMT2/ESD/GLUD2/GLDC/PFKP/PCCA/ALDOB/ACOX3/PRPS1/SDSL/H6PD/GOT1/OGDHL/SUCLG1/PHGDH/IDH2/HK3/DLD/SDHA/CS/HKDC1/HK1/G6PD/ACSS1/ME3/PFKM",68
"hsa04146","Peroxisome","52/2028","82/8192",1.14298696894476e-13,7.58943347379323e-12,5.77509205361565e-12,"ACOX2/ACAA1/CAT/DHRS4/HMGCL/SOD1/EHHADH/HACL1/NUDT7/HSD17B4/PIPOX/PEX11A/PHYH/ACSL1/MLYCD/PXMP2/SCP2/ACOX1/PEX11G/PEX14/ECI2/PECR/PEX13/AGXT/CRAT/EPHX2/ECH1/PEX3/DDO/IDH1/CROT/PEX19/ABCD3/XDH/SLC27A2/ABCD4/PAOX/ACSL5/DECR2/GSTK1/AMACR/ACOX3/MVK/IDH2/BAAT/ACSL6/PEX7/PRDX1/NUDT12/FAR1/SOD2/FAR2",52
"hsa01240","Biosynthesis of cofactors","79/2028","153/8192",5.03510324630108e-13,2.78609046295326e-11,2.12004347212677e-11,"KMO/DHODH/ALAS1/GCH1/GPHN/MTHFD1/PANK1/NADK2/TDO2/HSD17B6/SHMT1/AK3/AFMID/MMAB/GUSB/RGN/GGCX/PNPO/OXSM/HAAO/ALDH2/DHRS3/UGP2/HPD/ALAD/MOCS1/MOCS2/VKORC1/GCLC/UGT1A9/GGH/PSAT1/AKR1A1/RDH11/CPOX/UGT2B4/AK4/UGT2B7/NADK/MTHFD2L/COQ5/MAT1A/ALPL/SHMT2/ALDH3A2/DHFR/COQ6/PANK3/NFS1/FECH/QPRT/ALDH1B1/ADSS1/COQ2/UROD/AK8/KYNU/FPGS/PTS/COQ3/DLD/UGT2B15/UGDH/MTHFD1L/NAPRT/CAD/UGT1A6/DHFR2/NMNAT1/RDH13/AK1/GCLM/NMNAT2/TPK1/NQO1/CTPS1/NME7/MTHFD2/BCAT1",79
"hsa00640","Propanoate metabolism","26/2028","32/8192",2.74869049304181e-11,1.30366463384269e-09,9.92008598992532e-10,"MMUT/BCKDHB/HIBCH/MCEE/SUCLG2/EHHADH/ALDH6A1/MLYCD/ABAT/ACACB/ECHS1/ACOX1/DBT/ACSS3/ACSS2/ACADS/PCCB/HADHA/PCCA/ACOX3/SUCLG1/BCKDHA/DLD/ECHDC1/LDHA/ACSS1",26
"hsa00620","Pyruvate metabolism","33/2028","47/8192",6.22541796326126e-11,2.58354845475342e-09,1.9659214620825e-09,"PKM/PCK2/ACAT2/HAGH/GRHPR/LDHD/ACACB/ALDH9A1/ADH5/ADH4/ACSS2/ALDH7A1/ADH1A/PDHB/ALDH2/PKLR/ADH6/PCK1/ACAT1/ACYP2/PC/AKR1A1/FH/ALDH3A2/ADH1C/ADH1B/GLO1/ALDH1B1/DLD/ACYP1/LDHA/ACSS1/ME3",33
"hsa00260","Glycine, serine and threonine metabolism","29/2028","40/8192",2.66781115295231e-10,9.84125891977964e-09,7.48859271004158e-09,"CTH/GNMT/SARDH/ALAS1/DMGDH/SDS/GLYCTK/PIPOX/GRHPR/GCAT/SHMT1/GCSH/BHMT/AGXT2/AMT/ALDH7A1/AGXT/PSAT1/SHMT2/GATM/GAMT/GLDC/SDSL/PHGDH/DLD/MAOA/AOC3/MAOB/CHDH",29
"hsa01212","Fatty acid metabolism","36/2028","57/8192",8.47741630782767e-10,2.81450221419879e-08,2.14166306724068e-08,"ACAA1/ACADSB/HADH/ACAT2/EHHADH/HSD17B4/HSD17B8/ACSL1/ECHS1/SCP2/ACOX1/ACADL/ACADM/OXSM/ACADS/ELOVL6/ACAA2/ACAT1/CPT2/SCD/ACSL5/FADS2/ACADVL/HADHA/HADHB/ACOX3/FASN/HSD17B12/FADS1/CBR4/ACSL6/ELOVL1/ELOVL5/ELOVL2/ELOVL7/CPT1B",36
"hsa03320","PPAR signaling pathway","43/2028","75/8192",1.58805715015756e-09,4.75563021235503e-08,3.61874207661765e-08,"ACOX2/ACAA1/SLC27A5/PLIN1/PCK2/EHHADH/CYP8B1/PPARA/ACSL1/SCP2/ACOX1/ACADL/CYP27A1/ACADM/PLIN4/FABP1/RXRA/PCK1/CD36/PLIN2/CPT2/APOC3/NR1H3/DBI/HMGCS2/HMGCS1/GK/PLIN5/SLC27A2/SCD/ACSL5/FADS2/APOA1/ACOX3/AQP7/APOA2/ACSL6/ANGPTL4/PPARG/MMP1/ME3/SORBS1/CPT1B",43
"hsa00380","Tryptophan metabolism","29/2028","42/8192",1.71890248639338e-09,4.75563021235503e-08,3.61874207661765e-08,"GCDH/KMO/AADAT/CAT/DHTKD1/HADH/ACAT2/EHHADH/TDO2/ECHS1/ALDH9A1/AFMID/ALDH8A1/ALDH7A1/DDC/HAAO/ALDH2/ACAT1/ALDH3A2/AOX1/HADHA/ALDH1B1/KYNU/INMT/ACMSD/DLD/MAOA/MAOB/KYAT1",29
"hsa00630","Glyoxylate and dicarboxylate metabolism","23/2028","30/8192",3.22395519420979e-09,8.23348557290501e-08,6.26517608591377e-08,"MMUT/CAT/ACAT2/GLYCTK/MCEE/GRHPR/SHMT1/GCSH/AFMID/ACSS2/AMT/PCCB/AGXT/ACAT1/ACO1/SHMT2/GLDC/PCCA/HOGA1/DLD/GLUL/CS/ACSS1",23
"hsa00650","Butanoate metabolism","20/2028","27/8192",9.60471909956454e-08,2.27769052932531e-06,1.73318239390638e-06,"ACSM5/HMGCL/ALDH5A1/HADH/ACAT2/EHHADH/ABAT/ECHS1/ACADS/BDH1/ACSM2B/ACSM2A/ACAT1/HMGCS2/HMGCS1/L2HGDH/HADHA/ACSM3/AACS/ACSM1",20
"hsa00250","Alanine, aspartate and glutamate metabolism","24/2028","37/8192",2.7757809861387e-07,6.14372858265365e-06,4.67499955560202e-06,"GLUD1/ALDH5A1/FOLH1/CPS1/ABAT/GPT/GOT2/AGXT2/ASL/GPT2/AGXT/ASPA/DDO/ASS1/ALDH4A1/NIT2/GLUD2/GOT1/ADSS1/GLS/ASNS/GLUL/RIMKLA/CAD",24
"hsa00010","Glycolysis / Gluconeogenesis","36/2028","67/8192",3.18490815510359e-07,6.60868442183995e-06,5.02880235016356e-06,"PKM/PCK2/FBP1/ALDH9A1/ADH5/ADH4/ACSS2/ALDH7A1/ENO3/ADH1A/PDHB/ALDH2/PKLR/ADH6/PCK1/PGM1/ALDOC/GALM/AKR1A1/ALDOA/G6PC1/ALDH3A2/ADH1C/ADH1B/MINPP1/PFKP/ALDOB/ALDH1B1/HK3/G6PC3/DLD/HKDC1/HK1/LDHA/ACSS1/PFKM",36
